iter	Logloss
0	0.6570114319
1	0.6286671469
2	0.602652811
3	0.5806758601
4	0.5669039896
5	0.5512801683
6	0.5348939246
7	0.5231024237
8	0.5129915108
9	0.5038469101
10	0.4944320347
11	0.4887234806
12	0.4825685733
13	0.4769203015
14	0.4740722294
15	0.4702358901
16	0.4662518187
17	0.4628960395
18	0.4588147629
19	0.4557186583
20	0.4533675195
21	0.4503053859
22	0.4478360307
23	0.4442504481
24	0.4409853677
25	0.438421563
26	0.4362744189
27	0.4339289719
28	0.4324508872
29	0.4301514864
30	0.4276480041
31	0.4264354045
32	0.4250910719
33	0.4236918861
34	0.421950097
35	0.4194658941
36	0.4185426116
37	0.4165752855
38	0.4153005252
39	0.4142795286
40	0.4132254168
41	0.4105999262
42	0.4074849197
43	0.4059193267
44	0.4046417836
45	0.4028189526
46	0.4015017147
47	0.4001149747
48	0.3990594467
49	0.3980608502
50	0.3966563222
51	0.395703105
52	0.3956658303
53	0.3937382546
54	0.3929442324
55	0.3920737512
56	0.3912104318
57	0.3903319933
58	0.3897891344
59	0.3887705653
60	0.3879388569
61	0.3862550344
62	0.3857480395
63	0.384815471
64	0.3841100198
65	0.3832986584
66	0.382396171
67	0.3808995952
68	0.3808832267
69	0.3800502028
70	0.379296013
71	0.3778710756
72	0.3773099996
73	0.3765828892
74	0.3762703868
75	0.3756864284
76	0.3740125195
77	0.3729391647
78	0.3721493389
79	0.3705849033
80	0.3693537288
81	0.3687747514
82	0.3682272829
83	0.3678584038
84	0.3674469091
85	0.367098626
86	0.3666229916
87	0.366116997
88	0.3654153908
89	0.3644432383
90	0.364139362
91	0.3637031044
92	0.3630928064
93	0.3624040826
94	0.3617220658
95	0.361039171
96	0.3605737517
97	0.3597335362
98	0.358819865
99	0.3583620524
100	0.3576833181
101	0.3572200753
102	0.3567490687
103	0.3563227518
104	0.3550373039
105	0.3546408825
106	0.3540349866
107	0.353963702
108	0.3534208713
109	0.3533961917
110	0.3523133174
111	0.3520327057
112	0.3517920624
113	0.3514039267
114	0.350931822
115	0.3502054197
116	0.3496173235
117	0.3492077573
118	0.3491632327
119	0.3491632271
120	0.3488349799
121	0.3483979801
122	0.3478509264
123	0.3472368991
124	0.3465313087
125	0.3460313907
126	0.3457466991
127	0.3450009539
128	0.3443682231
129	0.3434553685
130	0.34300518
131	0.3426901184
132	0.3423706986
133	0.3408211802
134	0.340193348
135	0.3401932784
136	0.3392642113
137	0.3388114422
138	0.3385108959
139	0.3384908418
140	0.3379294553
141	0.3377288896
142	0.3366985429
143	0.3361863087
144	0.335356138
145	0.334902117
146	0.3346125756
147	0.334461412
148	0.3344429732
149	0.334442957
150	0.3328893555
151	0.3324884741
152	0.3319354772
153	0.3314982181
154	0.3308236049
155	0.3299061348
156	0.3298895064
157	0.3294719795
158	0.3289595566
159	0.3286678591
160	0.3281081074
161	0.3280050203
162	0.3275265848
163	0.3268342305
164	0.3264250593
165	0.326037316
166	0.3255878257
167	0.3249721473
168	0.3247383137
169	0.3240691563
170	0.3234409067
171	0.3231045785
172	0.3226980316
173	0.3225959709
174	0.321992413
175	0.321587208
176	0.3212477331
177	0.3204517737
178	0.3201501885
179	0.3194038712
180	0.3189926136
181	0.3183423911
182	0.3178029709
183	0.3172949696
184	0.316693556
185	0.3160246675
186	0.3149497212
187	0.3147652988
188	0.3142713946
189	0.3135961216
190	0.3127241914
191	0.3123642558
192	0.3117670262
193	0.3114454685
194	0.3109902928
195	0.3104221675
196	0.3093007848
197	0.3087602966
198	0.3084380481
199	0.3077210667
200	0.3070906385
201	0.3066831377
202	0.3063067545
203	0.3060313632
204	0.3054060216
205	0.3048328026
206	0.3045675107
207	0.3042388072
208	0.3037177497
209	0.3033675958
210	0.3030422509
211	0.3025010072
212	0.30190977
213	0.3017207149
214	0.3014360844
215	0.301063669
216	0.3006017225
217	0.300174412
218	0.2997855253
219	0.2994873402
220	0.2989511053
221	0.2986519145
222	0.2982504833
223	0.2978107195
224	0.2974378372
225	0.2972239857
226	0.2968285124
227	0.2960355805
228	0.2951911531
229	0.2947862203
230	0.2943937303
231	0.2940141825
232	0.29367512
233	0.2931681842
234	0.2928864064
235	0.2925047707
236	0.2921915689
237	0.291810292
238	0.291540626
239	0.2910255755
240	0.2907319548
241	0.2904762804
242	0.2896475196
243	0.2894160898
244	0.2886700792
245	0.2880152039
246	0.2878613316
247	0.287584611
248	0.2873147594
249	0.2865693145
250	0.2862092411
251	0.2859595176
252	0.2855734901
253	0.2849480292
254	0.2846634086
255	0.2841562139
256	0.2837583193
257	0.2833341993
258	0.2828744809
259	0.2821513469
260	0.281580759
261	0.2813728626
262	0.2810861151
263	0.2804661638
264	0.2802460826
265	0.2799128099
266	0.2795661332
267	0.2790904284
268	0.2788603796
269	0.278524036
270	0.2782913658
271	0.2780068751
272	0.2774079628
273	0.2770845908
274	0.2768263614
275	0.2762634928
276	0.2757415509
277	0.2754507859
278	0.2752339964
279	0.2749281462
280	0.2747421558
281	0.2744835352
282	0.2740386194
283	0.2738712741
284	0.2736112353
285	0.2731597836
286	0.272783203
287	0.2724856196
288	0.2722109819
289	0.2717767409
290	0.271484455
291	0.2710885162
292	0.2705367646
293	0.2703654355
294	0.2699674373
295	0.2693897178
296	0.2690761082
297	0.2688648436
298	0.2686256811
299	0.2682205719
300	0.2676774942
301	0.2673520952
302	0.2671542895
303	0.266873514
304	0.2663403153
305	0.2659201278
306	0.265667832
307	0.2653360191
308	0.264593465
309	0.2641564595
310	0.263864045
311	0.2633868315
312	0.2630725568
313	0.262732412
314	0.2624675951
315	0.2621989701
316	0.2618605607
317	0.2615561269
318	0.2611053889
319	0.2608516175
320	0.2608027273
321	0.2606024908
322	0.2598064305
323	0.2595842861
324	0.25937884
325	0.2590374939
326	0.2585565953
327	0.257777774
328	0.2574381447
329	0.2571698418
330	0.2569073934
331	0.2564196898
332	0.2561597042
333	0.2553399557
334	0.2551275344
335	0.2548181817
336	0.2546881564
337	0.2544772025
338	0.2540540532
339	0.2538110215
340	0.2533614449
341	0.2531764329
342	0.2528147786
343	0.2527636299
344	0.2525047581
345	0.2521102661
346	0.2519940553
347	0.2517345537
348	0.2515212924
349	0.2512580538
350	0.2507330996
351	0.2505359121
352	0.2503071931
353	0.2502501456
354	0.2500647077
355	0.2498924119
356	0.2496979018
357	0.2493051051
358	0.2489912346
359	0.2485873851
360	0.2480766125
361	0.2478156949
362	0.2476540809
363	0.2472143953
364	0.2469455684
365	0.2467116418
366	0.246482436
367	0.2461487045
368	0.2456644622
369	0.2452778644
370	0.2450276339
371	0.2448915024
372	0.2447610094
373	0.2442870735
374	0.2441258317
375	0.2439777754
376	0.2436940942
377	0.2435434596
378	0.2433561155
379	0.242962401
380	0.2425725475
381	0.2423404133
382	0.2420014339
383	0.2417411013
384	0.2413677361
385	0.2412005118
386	0.2409146864
387	0.2407206023
388	0.2403784394
389	0.2399786713
390	0.2398368753
391	0.2395398669
392	0.2392239919
393	0.2388308273
394	0.238578032
395	0.2381865117
396	0.2380006106
397	0.2377349129
398	0.2376141681
399	0.2373204159
400	0.2370821319
401	0.2368076352
402	0.2364604707
403	0.236078683
404	0.2357412525
405	0.2356078239
406	0.2354970354
407	0.2350502935
408	0.2349347904
409	0.2347782738
