iter	Passed	Remaining
0	273	136636
1	387	96501
2	479	79506
3	575	71343
4	652	64548
5	720	59306
6	816	57471
7	885	54462
8	952	51964
9	1050	51462
10	1153	51283
11	1241	50489
12	1334	50002
13	1415	49139
14	1452	46955
15	1530	46296
16	1614	45868
17	1712	45845
18	1791	45364
19	1883	45205
20	1980	45166
21	2071	45001
22	2175	45109
23	2275	45130
24	2376	45154
25	2463	44915
26	2535	44412
27	2607	43951
28	2679	43511
29	2753	43133
30	2830	42820
31	2904	42480
32	2990	42318
33	3065	42021
34	3145	41793
35	3226	41592
36	3303	41344
37	3382	41122
38	3474	41073
39	3580	41172
40	3675	41146
41	3743	40816
42	3835	40758
43	3908	40502
44	3989	40339
45	4046	39937
46	4110	39617
47	4167	39245
48	4234	38971
49	4302	38726
50	4374	38512
51	4446	38306
52	4468	37687
53	4542	37518
54	4619	37373
55	4699	37260
56	4778	37135
57	4864	37067
58	4940	36927
59	5014	36774
60	5091	36644
61	5174	36553
62	5256	36460
63	5331	36318
64	5409	36205
65	5476	36013
66	5554	35894
67	5624	35733
68	5640	35230
69	5719	35132
70	5781	34934
71	5866	34875
72	5938	34734
73	6013	34615
74	6079	34447
75	6146	34293
76	6220	34172
77	6296	34063
78	6363	33912
79	6429	33754
80	6510	33678
81	6578	33532
82	6655	33435
83	6726	33310
84	6801	33206
85	6878	33110
86	6955	33019
87	7026	32899
88	7103	32803
89	7180	32710
90	7265	32654
91	7336	32534
92	7420	32475
93	7499	32391
94	7562	32241
95	7634	32127
96	7712	32042
97	7811	32043
98	7912	32051
99	8010	32043
100	8103	32011
101	8175	31899
102	8256	31822
103	8322	31690
104	8400	31602
105	8476	31508
106	8549	31400
107	8564	31084
108	8638	30987
109	8655	30686
110	8718	30555
111	8781	30422
112	8871	30383
113	8941	30277
114	9024	30212
115	9097	30115
116	9179	30047
117	9263	29988
118	9290	29744
119	9299	29449
120	9381	29384
121	9462	29319
122	9531	29213
123	9600	29112
124	9684	29053
125	9752	28947
126	9826	28860
127	9895	28758
128	9968	28668
129	10062	28638
130	10146	28580
131	10238	28543
132	10315	28465
133	10391	28382
134	10474	28320
135	10483	28057
136	10554	27964
137	10624	27870
138	10699	27787
139	10718	27562
140	10786	27464
141	10874	27416
142	10958	27358
143	11040	27293
144	11113	27209
145	11198	27151
146	11273	27072
147	11343	26979
148	11365	26773
149	11378	26549
150	11464	26497
151	11538	26417
152	11633	26384
153	11696	26278
154	11773	26206
155	11855	26142
156	11879	25952
157	11970	25911
158	12063	25871
159	12161	25843
160	12260	25816
161	12326	25718
162	12401	25640
163	12484	25577
164	12559	25499
165	12639	25430
166	12716	25356
167	12807	25309
168	12891	25249
169	12978	25193
170	13059	25125
171	13132	25044
172	13216	24981
173	13290	24900
174	13373	24835
175	13452	24764
176	13529	24689
177	13619	24637
178	13696	24562
179	13800	24534
180	13876	24456
181	13957	24387
182	14032	24308
183	14111	24235
184	14212	24199
185	14300	24142
186	14386	24079
187	14455	23990
188	14541	23927
189	14620	23854
190	14692	23769
191	14781	23712
192	14854	23629
193	14938	23562
194	15027	23504
195	15104	23427
196	15179	23347
197	15249	23259
198	15335	23195
199	15415	23123
200	15496	23051
201	15568	22967
202	15638	22880
203	15718	22807
204	15799	22735
205	15876	22659
206	15947	22573
207	16022	22493
208	16110	22430
209	16194	22363
210	16272	22287
211	16344	22204
212	16413	22116
213	16499	22050
214	16570	21965
215	16647	21888
216	16722	21808
217	16803	21736
218	16894	21677
219	16983	21615
220	17054	21530
221	17127	21447
222	17205	21372
223	17291	21305
224	17386	21249
225	17472	21183
226	17551	21108
227	17631	21034
228	17725	20976
229	17804	20901
230	17880	20822
231	17953	20739
232	18031	20662
233	18107	20583
234	18184	20505
235	18266	20434
236	18347	20360
237	18427	20285
238	18520	20224
239	18596	20146
240	18679	20074
241	18759	19999
242	18849	19935
243	18941	19873
244	19018	19794
245	19088	19709
246	19166	19631
247	19247	19557
248	19329	19484
249	19401	19401
250	19470	19315
251	19548	19238
252	19623	19158
253	19702	19082
254	19780	19004
255	19847	18917
256	19919	18834
257	20002	18762
258	20081	18685
259	20169	18617
260	20251	18544
261	20330	18468
262	20409	18392
263	20492	18319
264	20587	18256
265	20662	18176
266	20735	18095
267	20820	18023
268	20908	17955
269	20993	17883
270	21058	17795
271	21131	17712
272	21212	17638
273	21307	17574
274	21380	17493
275	21461	17418
276	21551	17350
277	21634	17276
278	21721	17205
279	21795	17125
280	21889	17059
281	21956	16973
282	22029	16891
283	22111	16817
284	22197	16745
285	22263	16658
286	22336	16577
287	22421	16504
288	22489	16419
289	22555	16333
290	22628	16252
291	22689	16162
292	22763	16082
293	22838	16002
294	22917	15925
295	22986	15842
296	23060	15761
297	23146	15690
298	23213	15605
299	23292	15528
300	23366	15448
301	23447	15372
302	23537	15303
303	23622	15230
304	23706	15156
305	23779	15075
306	23864	15002
307	23951	14930
308	24033	14855
309	24106	14774
310	24183	14696
311	24257	14616
312	24328	14534
313	24409	14459
314	24495	14386
315	24580	14312
316	24663	14237
317	24741	14160
318	24805	14074
319	24885	13998
320	24956	13916
321	25035	13839
322	25110	13760
323	25181	13678
324	25274	13609
325	25366	13539
326	25442	13460
327	25526	13385
328	25626	13319
329	25708	13243
330	25773	13159
331	25850	13081
332	25931	13004
333	26006	12925
334	26077	12844
335	26163	12770
336	26233	12688
337	26307	12608
338	26389	12533
339	26474	12458
340	26553	12381
341	26629	12302
342	26715	12228
343	26794	12151
344	26867	12070
345	26951	11995
346	27025	11916
347	27095	11834
348	27171	11756
349	27256	11681
350	27345	11608
351	27419	11528
352	27487	11446
353	27556	11365
354	27635	11287
355	27715	11210
356	27799	11135
357	27881	11059
358	27976	10987
359	28057	10911
360	28130	10831
361	28202	10751
362	28271	10670
363	28342	10589
364	28425	10513
365	28492	10431
366	28567	10352
367	28645	10274
368	28730	10199
369	28822	10126
370	28893	10046
371	28988	9974
372	29061	9895
373	29139	9817
374	29218	9739
375	29286	9658
376	29364	9580
377	29437	9501
378	29514	9422
379	29585	9342
380	29659	9263
381	29738	9186
382	29812	9107
383	29893	9030
384	29977	8954
385	30058	8877
386	30142	8801
387	30211	8720
388	30283	8641
389	30372	8566
390	30442	8486
391	30515	8407
392	30593	8329
393	30659	8248
394	30728	8168
395	30803	8089
396	30876	8010
397	30944	7930
398	31030	7854
399	31107	7776
400	31181	7698
401	31260	7620
402	31329	7540
403	31423	7466
404	31500	7389
405	31579	7311
406	31653	7232
407	31727	7154
408	31788	7072
409	31863	6994
410	31931	6914
411	32017	6838
412	32104	6762
413	32196	6688
414	32277	6611
415	32350	6532
416	32421	6453
417	32490	6373
418	32558	6294
419	32629	6215
420	32704	6136
421	32781	6059
422	32848	5979
423	32918	5900
424	32991	5822
425	33066	5743
426	33145	5666
427	33228	5589
